"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"399","0 Fountain Road, Fordsburg, Johannesburg","2","0 Marconi Nook, Hennopspark, Centurion","07/31/2016 - 08/28/2016, Every day, Daily Average",1969,1375,2817
"399","0 Fountain Road, Fordsburg, Johannesburg","26","0 Voyager Street, Frankenwald, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",2666,1085,6550
"399","0 Fountain Road, Fordsburg, Johannesburg","27","0 11th Avenue, Sydenham, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1169,749,1823
"399","0 Fountain Road, Fordsburg, Johannesburg","28","0 Murray Street, Waverley, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",861,486,1525
"399","0 Fountain Road, Fordsburg, Johannesburg","30","0 Lebombo Place, Glenvista, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",1020,710,1464
"399","0 Fountain Road, Fordsburg, Johannesburg","31","Cayman Road, Olifantsvlei 327-Iq, Johannesburg South","07/31/2016 - 08/28/2016, Every day, Daily Average",947,677,1322
"399","0 Fountain Road, Fordsburg, Johannesburg","32","Main Road, Soweto","07/31/2016 - 08/28/2016, Every day, Daily Average",1840,1335,2535
"399","0 Fountain Road, Fordsburg, Johannesburg","33","100 East Street, Devland, Soweto","07/31/2016 - 08/28/2016, Every day, Daily Average",844,569,1251
"399","0 Fountain Road, Fordsburg, Johannesburg","36","0 Soetdoring Street, Dowerglen, Edenvale","07/31/2016 - 08/28/2016, Every day, Daily Average",1597,912,2795
"399","0 Fountain Road, Fordsburg, Johannesburg","50","Mimetic Road, Eikenhof","07/31/2016 - 08/28/2016, Every day, Daily Average",1161,843,1597
"399","0 Fountain Road, Fordsburg, Johannesburg","57","Unnamed Road, Eikenhof","07/31/2016 - 08/28/2016, Every day, Daily Average",1226,912,1646
"399","0 Fountain Road, Fordsburg, Johannesburg","84","0 Boca Loop, Centurion Golf Estate, Centurion","07/31/2016 - 08/28/2016, Every day, Daily Average",2227,1515,3272
"399","0 Fountain Road, Fordsburg, Johannesburg","86","0 Burger Road, President Park AH, Midrand","07/31/2016 - 08/28/2016, Every day, Daily Average",1562,1111,2194
"399","0 Fountain Road, Fordsburg, Johannesburg","88","200 Wilson Street, Fairland, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1341,967,1859
"399","0 Fountain Road, Fordsburg, Johannesburg","89","0 Frost Avenue, Braamfontein Werf, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",174,67,445
"399","0 Fountain Road, Fordsburg, Johannesburg","90","0 Erlswold Way, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",459,257,817
"399","0 Fountain Road, Fordsburg, Johannesburg","91","0 Majuba Lane, Morningside, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1486,1036,2129
"399","0 Fountain Road, Fordsburg, Johannesburg","95","Unnamed Road, Thulani, Soweto","07/31/2016 - 08/28/2016, Every day, Daily Average",2346,1791,3071
"399","0 Fountain Road, Fordsburg, Johannesburg","96","2100 Relebone Street, Naledi, Soweto","07/31/2016 - 08/28/2016, Every day, Daily Average",1931,1527,2441
"399","0 Fountain Road, Fordsburg, Johannesburg","97","300 Jan de Necker Drive, Devland, Soweto","07/31/2016 - 08/28/2016, Every day, Daily Average",856,553,1324
"399","0 Fountain Road, Fordsburg, Johannesburg","103","100 Nederveen Highway, Roodekop, Germiston","07/31/2016 - 08/28/2016, Every day, Daily Average",1292,921,1811
"399","0 Fountain Road, Fordsburg, Johannesburg","303","Rooihuiskraal Road, Centurion","07/31/2016 - 08/28/2016, Every day, Daily Average",1915,1266,2895
"399","0 Fountain Road, Fordsburg, Johannesburg","304","0 Pelican Avenue, Rooihuiskraal, Centurion","07/31/2016 - 08/28/2016, Every day, Daily Average",1843,1329,2554
"399","0 Fountain Road, Fordsburg, Johannesburg","321","1100 Bernini Crescent, Centurion","07/31/2016 - 08/28/2016, Every day, Daily Average",2438,1621,3665
"399","0 Fountain Road, Fordsburg, Johannesburg","322","0 Adriana Crescent, Rooihuiskraal, Centurion","07/31/2016 - 08/28/2016, Every day, Daily Average",1962,1286,2992
"399","0 Fountain Road, Fordsburg, Johannesburg","323","100 Brakfontein Road, Louwlardia, Centurion","07/31/2016 - 08/28/2016, Every day, Daily Average",2040,1316,3160
"399","0 Fountain Road, Fordsburg, Johannesburg","326","200 Witch-Hazel Avenue, Eco-Park Estate, Centurion","07/31/2016 - 08/28/2016, Every day, Daily Average",2399,1558,3693
"399","0 Fountain Road, Fordsburg, Johannesburg","327","John Vorster Drive, Centurion Central, Centurion","07/31/2016 - 08/28/2016, Every day, Daily Average",2113,1473,3029
"399","0 Fountain Road, Fordsburg, Johannesburg","329","0 Hunters Road, Hunters Hill A. H., Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1806,1341,2431
"399","0 Fountain Road, Fordsburg, Johannesburg","340","0 Constantia Street, Sonnedal AH, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",2334,1667,3266
"399","0 Fountain Road, Fordsburg, Johannesburg","341","0 Valley Road, North Riding AH, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",2135,1528,2981
"399","0 Fountain Road, Fordsburg, Johannesburg","342","0 Boschkop Avenue, Boskruin, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1581,1102,2266
"399","0 Fountain Road, Fordsburg, Johannesburg","343","0 Lima Street, Olivedale, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1899,1410,2557
"399","0 Fountain Road, Fordsburg, Johannesburg","344","100 Pritchard Street, Noordhang, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",2094,1648,2660
"399","0 Fountain Road, Fordsburg, Johannesburg","345","Pontac Road, Kya Sand, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",2292,1751,2999
"399","0 Fountain Road, Fordsburg, Johannesburg","347","1400 Chiltern Crescent, Dainfern, Midrand","07/31/2016 - 08/28/2016, Every day, Daily Average",2335,1732,3146
"399","0 Fountain Road, Fordsburg, Johannesburg","348","0 Campbell Road, Craigavon AH, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1935,1416,2643
"399","0 Fountain Road, Fordsburg, Johannesburg","352","Unnamed Road, Waterval 5-Ir, Midrand","07/31/2016 - 08/28/2016, Every day, Daily Average",1470,911,2370
"399","0 Fountain Road, Fordsburg, Johannesburg","353","0 Mimosa Road, Noordwyk, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1932,1316,2835
"399","0 Fountain Road, Fordsburg, Johannesburg","354","0 Riverside Road, Noordwyk, Midrand","07/31/2016 - 08/28/2016, Every day, Daily Average",1618,1080,2422
"399","0 Fountain Road, Fordsburg, Johannesburg","355","1200 Lever Road, Country View, Midrand","07/31/2016 - 08/28/2016, Every day, Daily Average",1759,1194,2589
"399","0 Fountain Road, Fordsburg, Johannesburg","357","0 Everfair Avenue, Randjesfontein, Midrand","07/31/2016 - 08/28/2016, Every day, Daily Average",2433,1372,4311
"399","0 Fountain Road, Fordsburg, Johannesburg","362","600 Gallagher Avenue, Halfway House, Midrand","07/31/2016 - 08/28/2016, Every day, Daily Average",1587,998,2522
"399","0 Fountain Road, Fordsburg, Johannesburg","363","Alsatian Road, Glen Austin AH, Midrand","07/31/2016 - 08/28/2016, Every day, Daily Average",1407,901,2196
"399","0 Fountain Road, Fordsburg, Johannesburg","365","0 Nola Avenue, Buccleuch, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1443,853,2439
"399","0 Fountain Road, Fordsburg, Johannesburg","366","0 Berger Road, Vorna Valley, Midrand","07/31/2016 - 08/28/2016, Every day, Daily Average",1441,985,2106
"399","0 Fountain Road, Fordsburg, Johannesburg","367","400 Stirrupcup Street, Kyalami Estate, Midrand","07/31/2016 - 08/28/2016, Every day, Daily Average",2069,1475,2901
"399","0 Fountain Road, Fordsburg, Johannesburg","370","Blinkblaar Street, Rietfontein 2-Ir, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",2038,1488,2789
"399","0 Fountain Road, Fordsburg, Johannesburg","371","0 Blueberry Lane, Magaliessig, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1658,1161,2366
"399","0 Fountain Road, Fordsburg, Johannesburg","374","0 Jubie Road, Barbeque Downs, Midrand","07/31/2016 - 08/28/2016, Every day, Daily Average",1993,1447,2743
"399","0 Fountain Road, Fordsburg, Johannesburg","375","0 Kleinste Street, Sunninghill, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1374,849,2222
"399","0 Fountain Road, Fordsburg, Johannesburg","376","0 Maluti Avenue, Paulshof, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1490,1017,2182
"399","0 Fountain Road, Fordsburg, Johannesburg","379","0 Modderfontein Road, Modderfontein, Lethabong","07/31/2016 - 08/28/2016, Every day, Daily Average",1967,1173,3297
"399","0 Fountain Road, Fordsburg, Johannesburg","380","100 1st Road, Linbro Park AH, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",2851,1481,5488
"399","0 Fountain Road, Fordsburg, Johannesburg","381","0 North Way, Kelvin, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1275,774,2100
"399","0 Fountain Road, Fordsburg, Johannesburg","382","0 Lincoln Lane, Khyber Rock, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1103,720,1689
"399","0 Fountain Road, Fordsburg, Johannesburg","383","Rivonia Axis, 11th Avenue, Edenburg, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1558,1061,2287
"399","0 Fountain Road, Fordsburg, Johannesburg","385","0 Wilton Avenue, Bryanston, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1778,1303,2424
"399","0 Fountain Road, Fordsburg, Johannesburg","386","0 Bryanston Drive, Bryanston, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1746,1210,2518
"399","0 Fountain Road, Fordsburg, Johannesburg","387","0 Vale Avenue, Ferndale, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1671,1111,2511
"399","0 Fountain Road, Fordsburg, Johannesburg","388","0 Jan K Marais Avenue, Malanshof, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1679,1178,2392
"399","0 Fountain Road, Fordsburg, Johannesburg","389","0 Annie Road, Fontainebleau, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1485,1023,2153
"399","0 Fountain Road, Fordsburg, Johannesburg","390","Republic Road, Cresta, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1357,927,1985
"399","0 Fountain Road, Fordsburg, Johannesburg","391","500 Katberg Street, Bergbron, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1030,739,1435
"399","0 Fountain Road, Fordsburg, Johannesburg","392","0 Ridgeview Road, Northcliff, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1085,767,1534
"399","0 Fountain Road, Fordsburg, Johannesburg","393","0 Annadale Street, Sophiatown, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",861,610,1214
"399","0 Fountain Road, Fordsburg, Johannesburg","395","0 Bradley Crescent, Westbury, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",798,547,1163
"399","0 Fountain Road, Fordsburg, Johannesburg","396","0 Bellona Road, Mayfair West, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",414,241,710
"399","0 Fountain Road, Fordsburg, Johannesburg","397","0 Du Toit Street, Mayfair, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",260,132,510
"399","0 Fountain Road, Fordsburg, Johannesburg","400","Albertina Sisulu Road, Johannesburg, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",179,52,609
"399","0 Fountain Road, Fordsburg, Johannesburg","401","0 Maritzburg Street, City and Suburban Indust, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",365,205,647
"399","0 Fountain Road, Fordsburg, Johannesburg","402","0 Long Street, Jeppestown, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",684,403,1159
"399","0 Fountain Road, Fordsburg, Johannesburg","403","0 Hopper Street, Denver, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",421,291,607
"399","0 Fountain Road, Fordsburg, Johannesburg","404","0 33rd Street, Malvern, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",745,472,1175
"399","0 Fountain Road, Fordsburg, Johannesburg","405","0 Langermann Drive, South Kensington, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1063,638,1770
"399","0 Fountain Road, Fordsburg, Johannesburg","407","0 Frere Road, Bertrams, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",766,411,1424
"399","0 Fountain Road, Fordsburg, Johannesburg","408","0 Orange Road, Orchards, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",866,492,1521
"399","0 Fountain Road, Fordsburg, Johannesburg","409","100 Loveday Street, Johannesburg, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",248,104,590
"399","0 Fountain Road, Fordsburg, Johannesburg","410","0 Studente Avenue, Rossmore, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",557,347,893
"399","0 Fountain Road, Fordsburg, Johannesburg","411","0 Lothbury Road, Auckland Park, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",499,289,860
"399","0 Fountain Road, Fordsburg, Johannesburg","412","0 The Valley Road, Westcliff, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",358,184,696
"399","0 Fountain Road, Fordsburg, Johannesburg","413","0 Princess of Wales Terrace, Parktown, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",444,204,965
"399","0 Fountain Road, Fordsburg, Johannesburg","414","0 Page Street, Yeoville, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",916,507,1654
"399","0 Fountain Road, Fordsburg, Johannesburg","415","0 Dias Street, De Wetshof, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1376,868,2180
"399","0 Fountain Road, Fordsburg, Johannesburg","416","0 Stoneway, Linksfield North, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1607,1019,2533
"399","0 Fountain Road, Fordsburg, Johannesburg","419","0 2nd Avenue, Houghton Estate, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",538,291,994
"399","0 Fountain Road, Fordsburg, Johannesburg","420","0 Lower Park Drive, Parkview, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",588,361,956
"399","0 Fountain Road, Fordsburg, Johannesburg","421","0 The Braids, Emmarentia, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",623,386,1003
"399","0 Fountain Road, Fordsburg, Johannesburg","422","0 Langenhoven Street, Montgomery Park, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",868,564,1335
"399","0 Fountain Road, Fordsburg, Johannesburg","423","0 7th Street, Linden, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",896,616,1301
"399","0 Fountain Road, Fordsburg, Johannesburg","424","100 Hill Street, Ferndale, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1255,898,1752
"399","0 Fountain Road, Fordsburg, Johannesburg","425","0 Gordon Avenue, Blairgowrie, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1331,925,1913
"399","0 Fountain Road, Fordsburg, Johannesburg","426","0 Daniel Street, Solridge, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1646,1179,2296
"399","0 Fountain Road, Fordsburg, Johannesburg","430","0 Colinton Road, Morningside Manor, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1119,692,1809
"399","0 Fountain Road, Fordsburg, Johannesburg","431","0 Lilium Avenue, Marlboro Gardens, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",949,606,1485
"399","0 Fountain Road, Fordsburg, Johannesburg","432","0 Gousblom Crescent, Marlboro Gardens, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",2562,1356,4839
"399","0 Fountain Road, Fordsburg, Johannesburg","433","0 Queen Alexandra Road, Lombardy East, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",2013,1039,3897
"399","0 Fountain Road, Fordsburg, Johannesburg","434","Unnamed Road, Rietfontein 61-Ir, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1514,858,2670
"399","0 Fountain Road, Fordsburg, Johannesburg","435","0 Study Road, Glenhazel, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1408,955,2075
"399","0 Fountain Road, Fordsburg, Johannesburg","436","100 4th Street, Kew, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1210,783,1869
"399","0 Fountain Road, Fordsburg, Johannesburg","437","300 Bank Avenue, Alexandra, Alexandra","07/31/2016 - 08/28/2016, Every day, Daily Average",1417,911,2202
"399","0 Fountain Road, Fordsburg, Johannesburg","438","0 4th Street, Wynberg, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",936,566,1546
"399","0 Fountain Road, Fordsburg, Johannesburg","443","0 Kelvin Road, Raumaraispark, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",740,470,1164
"399","0 Fountain Road, Fordsburg, Johannesburg","444","0 5th Street, Parkmore, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1552,1051,2289
"399","0 Fountain Road, Fordsburg, Johannesburg","445","100 West Street, Sandown, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1226,853,1760
"399","0 Fountain Road, Fordsburg, Johannesburg","446","0 Rulin Road, Hyde Park, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",1084,725,1619
"399","0 Fountain Road, Fordsburg, Johannesburg","447","0 Rutland Avenue, Craighall Park, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",1042,737,1472
"399","0 Fountain Road, Fordsburg, Johannesburg","448","0 9th Avenue, Randburg","07/31/2016 - 08/28/2016, Every day, Daily Average",839,561,1254
"399","0 Fountain Road, Fordsburg, Johannesburg","449","0 North Street, Birdhaven, Johannesburg","07/31/2016 - 08/28/2016, Every day, Daily Average",625,370,1054
"399","0 Fountain Road, Fordsburg, Johannesburg","450","100 Linden Street, Sandown, Sandton","07/31/2016 - 08/28/2016, Every day, Daily Average",949,610,1476
"399","0 Fountain Road, Fordsburg, Johannesburg","452","0 Albert Street, Weltevredenpark, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1340,995,1803
"399","0 Fountain Road, Fordsburg, Johannesburg","453","0 Peperboom Avenue, Weltevredenpark, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1553,1144,2106
"399","0 Fountain Road, Fordsburg, Johannesburg","454","Diepkloof Street, Panorama 200 Iq, Roodepoort","07/31/2016 - 08/28/2016, Every day, Daily Average",1651,1258,2166
